Year_Fraction,Smoothed_GIA
2023.8530970,77.97
2023.8802630,76.89
2023.9074290,75.91
2023.9345960,75.04
2023.9617620,74.24
2023.9889280,73.48
2024.0160500,72.79
2024.0431420,72.23
2024.0702340,71.90
2024.0973260,71.91
2024.1244180,72.26
2024.1515100,72.79
2024.1786020,73.20
2024.2056940,73.18
2024.2327850,72.59
2024.2598770,71.60
2024.2869690,70.62
2024.3140610,70.03
2024.3411530,69.99
2024.3682450,70.33
2024.3953370,70.69
2024.4224290,70.81
2024.4495210,70.66
2024.4766130,70.41
2024.5037050,70.26
2024.5307970,70.28
2024.5578890,70.48
2024.5849810,70.92
2024.6120720,71.67
2024.6391640,72.72
2024.6662560,73.93
2024.6933480,75.13
2024.7204400,76.15
2024.7475320,76.84
2024.7746240,77.13
2024.8017160,77.07
2024.8288080,76.84
2024.8559000,76.52
2024.8829920,76.05
2024.9100840,75.38
2024.9371760,74.57
2024.9642670,73.75
2024.9913590,72.95
2025.0185020,72.22
2025.0456680,71.43
2025.0728340,70.89
2025.1000000,70.63
2025.1271670,70.56
2025.1543330,70.36
2025.1814990,69.65
2025.2086650,68.26
2025.2358310,67.27
2025.2629970,66.72
2025.2901630,66.44
2025.3173300,66.29
2025.3444960,66.23
